name_track,artist_name_raw,artist_name_norm,name_album,type,year,duration_ms,popularity,id_genre
1000 Years Old,Ganga,ganga,"Nights Of Glitter (The Ultimate Lounge Collection), Vol. 1",track,2019,373960,0,3
Compassion - Remastered,Steen Thottrup,steen thottrup,"Sunday Lounge, Vol. 4",track,2019,231442,0,3
Aeon In Motion,Jens Buchert,jens buchert,RLX #26 - The Chill Out Collection,track,2019,303393,0,3
Ursa Major,Pier-O,pier o,"Chilled Deep House Tunes, Vol. 2 (Sit Back And Enjoy This Wonderful Selection Of Modern Deep House Tunes)",track,2019,332459,0,3
Golden Sunrise,Marga Sol,marga sol,The Morning Light: Beautiful Relaxation Music to Start My Day,track,2019,293333,0,3
Baby I Like It - Club Mix,Project Blue Sun,project blue sun,Baby I Like It,track,2019,324668,0,3
Dreamin - Original Mix,Sine,sine,"Sensual Spa Lounge, Vol. 5",track,2019,303243,0,3
Piyar dosti hai,Yantra Mantra,yantra mantra,Touch My Soul,track,2019,304214,0,3
Far Away - Jean Mare Electronic Remix,For Found Future,for found future,"The Forest Chill Lounge, Vol. 14 (Deep Moods Music with Smooth Ambient & Chillout Tunes)",track,2019,353454,0,3
Living on the Moon - Original Mix,Ganga,ganga,"Sunrise, Sunset & Moonlight (25 Beautiful Vocal Tunes) [Moonlight Edition]",track,2019,253770,0,3
As Far as the Eye Can See - Original Mix,Michael E,michael e,White Sensation Lounge (Chillout Your Mind),track,2019,498000,0,3
Without You - Original Mix,Gary B,gary b,Travel & Living Lounge Vol.5,track,2020,251013,0,3
Eternal Love,Weathertunes,weathertunes,"Another Day, Another Island (Beautiful Lounge Collection), Vol. 2",track,2020,224866,0,3
Outta Reach,Jay Cinema,jay cinema,Better Days Ahead,track,2020,117134,0,3
Vinile,Gold Lounge,gold lounge,The Golden Room (8D Sound Chillout Vibes),track,2020,157268,0,3
put more arch in yo spine,austin fox 狐,austin fox,ESCAPE FROM TELEVANIA,track,2020,214227,0,3
Demon Timing,Zedman,zedman,Demon Timing,track,2020,158837,0,3
Bosporus - Original Mix,Jasmon,jasmon,"Sunrise Meditation, Vol. 2",track,2020,266893,0,3
Isolation Tank,Gelka,gelka,Isolation Tank,track,2020,223678,0,3
For Those Who Left Us,Yantra Mantra,yantra mantra,"The Chill Out White Sheep Session, Vol. 1",track,2020,245530,0,3
Who Am I,Shannon & Keast,shannon keast,Sad Songs 2021,track,2020,275464,0,3
Red Lanterns,Jasmon,jasmon,"Deep Breathing (Beautiful Music For Your Soul), Vol. 3",track,2020,264646,0,3
Az Freestyle,Swordbearer,swordbearer,Silience,track,2020,50780,0,3
Serendipity,Gary B,gary b,Southbeat Pres: Coffee Morning Chill Selection,track,2020,273019,0,3
Mar y Sol - Beach House Mix,Schwarz & Funk,schwarz funk,Chill Dreams,track,2020,361199,0,3
From A Friend,Five Seasons,five seasons,"Chill Out Journey, Vol. 2",track,2020,250000,0,3
Easier,Gary B,gary b,Southbeat Pres: Coffee Morning Chill Selection,track,2020,268019,0,3
Totality - Original Mix,Mirage Of Deep,mirage of deep,"Sunset Vibes (La Musica Electronica), Vol. 3",track,2020,381935,0,3
Mahareena - Ibiza Mix,Sunyata Project,sunyata project,"Pink Flamingo Chillout Music, Vol. 2",track,2020,306742,0,3
Blue Rose - Eivizzards Mix,Schwarz & Funk,schwarz funk,Sunset Surfing Lounge: Chillout Your Mind,track,2020,355021,0,3
Bahia - Original Mix,Faro,faro,"Coffee Bar Lounge, Vol. 21",track,2020,366200,0,3
Will You Love Me Tomorrow,Shannon & Keast,shannon keast,Acoustic R&B Love Songs,track,2020,218000,0,3
Secret Lovers,Michael E,michael e,"Globetrotter, Vol. 4",track,2020,280080,0,3
Falling into Existence - Instrumental Mix,Marga Sol,marga sol,"Take it Easy, Vol. 1 (Wonderful Selection Of Calm & Chilled Electronic Tunes)",track,2020,253090,0,3
Golden,Ganga,ganga,Around the World (A Chill Out & Lounge Journey),track,2020,294154,0,3
Sunny Day - Lemongrass Lazy Afternoon Rework,Weathertunes,weathertunes,"Lost in Paradise (Beautiful Summer Tunes), Vol. 3",track,2020,266813,0,3
Anis nous explique - Original Mix,Weathertunes,weathertunes,"Fireplace Chill, Vol. 2",track,2020,331840,0,3
Lift Me Up - Club Mix,Cambis,cambis,"House Record Bag, Vol. 1",track,2020,493228,0,3
Who Knew,Shannon & Keast,shannon keast,Sad Songs 2020,track,2020,227799,0,3
Riding On a Cloud,Peter Pearson,peter pearson,Pure Relaxation,track,2020,217226,0,3
Vasantika,Yantra Mantra,yantra mantra,"Lounge Top 55, Vol. 6 Deluxe, the Original",track,2020,292364,0,3
Cool and Dry - Lounge Sphere Mix,Jean Mare,jean mare,"Soundbar Deluxe Chill Lounge, Vol. 6 (Best of Ibiza Chillout Ambient and Downbeat Tracks)",track,2020,252357,0,3
BEAMstyle Shit,austin fox 狐,austin fox,ESCAPE FROM TELEVANIA,track,2020,121270,0,3
Stay a While Longer - Original Mix,Peter Pearson,peter pearson,Winter Spirits: Chillout Your Mind,track,2020,147000,0,3
Late Nights,Zedman,zedman,Imperfect,track,2020,185835,0,3
Es Cavalett - Original Mix,Eivissarts,eivissarts,Chillout Your Mind Vol.1 (Ultimate Chillout Collection),track,2020,345165,0,3
Go There - Original Mix,Ganga,ganga,"Lounge Time, Vol. 1",track,2020,252956,0,3
Feel It - Fat V Playa Rmx,Marga Sol,marga sol,Urban Soulful Grooves Vol.1: Urban Vibes for Urban People,track,2020,288000,0,3
Count on You,Zedman,zedman,An Emotional Turmoil in the City,track,2020,166478,0,3
Into the Ether,Lazy Hammock,lazy hammock,Late Night Chill 2,track,2020,399626,0,3
Beautiful,Shannon & Keast,shannon keast,R&B Acoustic,track,2020,236436,0,3
Dimanche Matin - Original Mix,Weathertunes,weathertunes,"Sensual Spa Lounge, Vol. 11",track,2020,277910,0,3
interlude,Kaxi,kaxi,Dynamic Love,track,2020,71957,0,3
Immersion,Eskadet,eskadet,"Lettres d'amour (Smooth Chill Out Grooves), Vol. 4",track,2020,464699,0,3
Everytime You Go Away,KoolSax,koolsax,Sweet Formentera (Balearic Flavored Lounge Cookies),track,2020,353725,0,3
Mystic Traveller,Ingo Herrmann,ingo herrmann,"Mystery Land, Vol. 1",track,2020,132519,0,3
Live Love Life,Worldtraveller,worldtraveller,"A Good Day, Vol. 3 (This Fantastic Selection Of Calm Beats Escort You Through The Day)",track,2020,268411,0,3
Missing You,AINT,aint,Missing You,track,2020,148983,0,3
Garden - Original Mix,Faro,faro,"Sensual Mood Lounge, Vol. 18",track,2020,411666,0,3
Heaven,Five Seasons,five seasons,"Chill Out Boutique, Vol. 3",track,2020,291904,0,3
Easier - Original Mix,Gary B,gary b,Traveling Lounge: Chillout Your Mind,track,2020,266000,0,3
Floating,Ingo Herrmann,ingo herrmann,"Deep Breathing (Beautiful Music For Your Soul), Vol. 4",track,2020,141538,0,3
Under the Moonlight,Clelia Felix,clelia felix,"Sunset Emotions, Vol. 2",track,2020,276480,0,3
Young Hearts Run Free,Shannon & Keast,shannon keast,Acoustic R&B Chill Music: 18 Smooth and Chilled Tracks,track,2020,286498,0,3
Bosporus,Jasmon,jasmon,"Beautiful Chill Out Collection, Vol. 1",track,2020,266893,0,3
E-Suite - Original Mix,Jens Buchert,jens buchert,"Sunset Meditation - Relaxing Chill out Music, Vol. 14",track,2020,305125,0,3
So Tell Me - Odyssee Mix,Artenovum,artenovum,"Balearic Café, Vol. 4 (Ibiza Chill out & Lounge Tracks to Relax)",track,2020,394200,0,3
Rising Like the Sun - Edit,Steen Thottrup,steen thottrup,"Sound Source (Musica Electronica), Vol. 4",track,2020,206762,0,3
A Picture of You - Remastered,Steen Thottrup,steen thottrup,"Drinks at Sunset, Vol. 3",track,2020,326736,0,3
Vanilla Sky - Original Mix,Marga Sol,marga sol,"Chill out Box, Vol. 4",track,2020,411457,0,3
Habitatmodul - Original Mix,Jens Buchert,jens buchert,"Lovely Mood Lounge, Vol. 27",track,2020,278490,0,3
Golden Sunrise - Original Mix,Marga Sol,marga sol,Machu Picchu Orange: World Chillout Music,track,2020,293333,0,3
Abracadabra - Bes & Meret Remix,Roberto Sol,roberto sol,"In House We Trust, Vol. 2",track,2020,296522,0,3
Because I Miss You - Houie D. Remix,Marie Therese,marie therese,Distant Mountains Lounge: Chillout Your Mind,track,2020,290190,0,3
The Breath of Ganges - Original Mix,Mirage Of Deep,mirage of deep,"Design & Lifestyle Lounge, Vol. 2",track,2020,441493,0,3
Serendipity - Loocalooma & Seven24 Remix,Gary B,gary b,"Comfortable Home Lounge, Vol.1",track,2020,333823,0,3
Loco-El Virgen de la Macarena - Dub Cumbia,Loving Paris,loving paris,Loco - El Virgen de la Macarena (Latest Remixes),track,2020,373203,0,3
Beautiful - Original Mix,Triangle Sun,triangle sun,Joyful Lounge (Chillout Your Mind),track,2020,283000,0,3
Transcendence - Original Mix,Jens Buchert,jens buchert,"Spiritual Spa, Vol. 6",track,2020,304586,0,3
A La Luna,Florzinho,florzinho,Black Coffee Lounge: Chillout Your Mind,track,2020,474666,0,3
Penelope,4 Wings,4 wings,Moka Beach Essential,track,2020,372493,0,3
